,rank,title,author,score,vote,rating
933,918,Everfair,Nisi Shawl,score: 93,1 person voted," 3.25 avg rating — 1,600 ratings"
934,918,"Wayfarer (Passenger, #2)",Alexandra Bracken,score: 93,1 person voted," 3.86 avg rating — 10,358 ratings"
935,918,Sweet Child of Time,Shanna Lauffey,score: 93,1 person voted,really liked it 4.00 avg rating — 3 ratings
936,937,Enclave,Kit Reed,score: 92,1 person voted, 2.76 avg rating — 201 ratings
937,937,Someone To Watch Over Me,Tricia Sullivan,score: 92,1 person voted, 3.57 avg rating — 61 ratings
938,937,"The Living Blood (African Immortals, #2)",Tananarive Due,score: 92,1 person voted," 4.33 avg rating — 1,932 ratings"
939,937,"The Sky Inside (The Sky Inside, #1)",Clare B. Dunkle,score: 92,1 person voted," 3.42 avg rating — 1,735 ratings"
940,937,You Shouldn't Call Me Mommy,Susan Tsui,score: 92,1 person voted, 3.57 avg rating — 37 ratings
941,937,"Lone Wolf Rising (The Winters Family Saga, #1)",Jami Brumfield,score: 92,1 person voted, 3.71 avg rating — 730 ratings
942,937,Reading the Bones,Sheila Finch,score: 92,1 person voted, 3.39 avg rating — 70 ratings
943,937,Blueeyedboy,Joanne Harris,score: 92,1 person voted," 3.26 avg rating — 3,893 ratings"
944,937,"The Zero Stone (The Zero Stone, #1)",Andre Norton,score: 92,1 person voted," 3.95 avg rating — 1,182 ratings"
945,937,"Losing Hope (Hopeless, #2)",Colleen Hoover,score: 92,1 person voted," 4.35 avg rating — 90,629 ratings"
946,937,Armstrong Dent and the Crime of the Century (A Classified Armstrong Dent Thriller - Season 1 Book 5),Aeyess,score: 92,1 person voted, 3.89 avg rating — 18 ratings
947,937,CHIMERAS (Track Presius #1),E.E. Giorgi,score: 92,1 person voted, 4.16 avg rating — 150 ratings
948,937,"Ghost Ship (Star Trek: The Next Generation, #1)",Diane Carey,score: 92,1 person voted," 3.19 avg rating — 1,861 ratings"
949,937,"Under Different Stars (Kricket, #1)",Amy A. Bartol,score: 92,1 person voted," 4.21 avg rating — 16,034 ratings"
950,937,Octavia's Brood: Science Fiction Stories from Social Justice Movements,Adrienne Maree Brown,score: 92,1 person voted," 3.94 avg rating — 1,822 ratings"
951,937,The Day Her Heart Stood Still,Susan Grant,score: 92,1 person voted, 3.82 avg rating — 141 ratings
952,937,"World After (Penryn & the End of Days, #2)",Susan Ee,score: 92,1 person voted," 4.20 avg rating — 80,879 ratings"
953,937,Remember the Future,Shanna Lauffey,score: 92,1 person voted,it was amazing 5.00 avg rating — 3 ratings
954,955,Hav,Jan Morris,score: 91,1 person voted, 3.89 avg rating — 378 ratings
955,955,"Archangel Protocol (LINK Angel, #1)",Lyda Morehouse,score: 91,1 person voted, 3.52 avg rating — 431 ratings
956,955,"Vampire Princess Rising (The Winters Family Saga, #2)",Jami Brumfield,score: 91,1 person voted, 4.33 avg rating — 227 ratings
957,955,"The Hired Hands' Dilemma (The Men of Space Station One, #3)",Marla Monroe,score: 91,1 person voted, 3.84 avg rating — 134 ratings
958,955,"The Price of the Phoenix (Star Trek Adventures, #4)",Sondra Marshak,score: 91,1 person voted, 3.36 avg rating — 593 ratings
959,955,Armstrong Dent and the Curious Case of Benjamin's Buttons (A Classified Armstrong Dent Thriller - Season 1 Book 4),Aeyess,score: 91,1 person voted, 3.82 avg rating — 17 ratings
960,955,"Probability Sun (Probability, #2)",Nancy Kress,score: 91,1 person voted, 3.72 avg rating — 664 ratings
961,955,Kabu Kabu,Nnedi Okorafor,score: 91,1 person voted," 3.96 avg rating — 1,035 ratings"
962,955,Califia's Daughters,Leigh Richards,score: 91,1 person voted, 3.88 avg rating — 711 ratings
963,955,"The Star Queen (Star, #0.5)",Susan Grant,score: 91,1 person voted, 3.88 avg rating — 197 ratings
964,955,"A Strange Scottish Shore (Emmaline Truelove, #2)",Juliana  Gray,score: 91,1 person voted, 3.68 avg rating — 658 ratings
965,955,"Cold Welcome (Vatta's Peace, #1)",Elizabeth Moon,score: 91,1 person voted," 3.98 avg rating — 2,298 ratings"
966,955,"The Queen of the Tearling (The Queen of the Tearling, #1)",Erika Johansen,score: 91,1 person voted," 4.02 avg rating — 72,161 ratings"
967,955,The Wonderful Flight to the Mushroom Planet,Eleanor Cameron,score: 91,1 person voted," 4.03 avg rating — 2,167 ratings"
968,955,Gravity Spike,Shanna Lauffey,score: 91,1 person voted, 4.25 avg rating — 4 ratings
969,970,"Chaos Space (Sentients of Orion, #2)",Marianne de Pierres,score: 90,2 people voted, 3.86 avg rating — 149 ratings
970,970,A Billion Days of Earth,Doris Piserchia,score: 90,1 person voted, 3.59 avg rating — 70 ratings
971,970,The Color of Bones,Tracy Edward Wymer,score: 90,1 person voted, 3.46 avg rating — 140 ratings
972,970,Zero Hour,Jordan Castillo Price,score: 90,1 person voted, 3.91 avg rating — 517 ratings
973,970,The Fate of the Phoenix (Star Trek Adventures #11),Sondra Marshak,score: 90,1 person voted, 3.30 avg rating — 400 ratings
974,970,Armstrong Dent and the Edge of Earth (A Classified Armstrong Dent Thriller - Season 1),Aeyess,score: 90,1 person voted, 3.45 avg rating — 58 ratings
975,970,"Eden (Eden, #1)",Louise Wise,score: 90,1 person voted," 3.57 avg rating — 1,268 ratings"
976,970,"Prodigy (Legend, #2)",Marie Lu,score: 90,1 person voted," 4.28 avg rating — 183,336 ratings"
977,970,"The Champion of Barésh (Star, #4; Star World Frontier, #1)",Susan Grant,score: 90,1 person voted, 4.14 avg rating — 507 ratings
978,970,"A Most Extraordinary Pursuit (Emmaline Truelove, #1)",Juliana  Gray,score: 90,1 person voted, 3.56 avg rating — 894 ratings
979,970,"Into the Fire (Vatta's Peace, #2)",Elizabeth Moon,score: 90,1 person voted," 4.10 avg rating — 1,345 ratings"
980,970,Forgotten Suns,Judith Tarr,score: 90,1 person voted, 3.83 avg rating — 283 ratings
981,970,"The Fates Divide (Carve the Mark, #2)",Veronica Roth,score: 90,1 person voted," 3.93 avg rating — 13,909 ratings"
982,970,Children of the Morning,Shanna Lauffey,score: 90,1 person voted, 3.80 avg rating — 15 ratings
983,984,"Human to Human (Saga of Tom Red-Clay, #3)",Rebecca Ore,score: 89,1 person voted, 3.66 avg rating — 70 ratings
984,984,Steal Across the Sky,Nancy Kress,score: 89,1 person voted," 3.44 avg rating — 1,164 ratings"
985,984,"The Twenty (Barronlands Trilogy, #1)",Claudia Carozza,score: 89,1 person voted, 3.79 avg rating — 61 ratings
986,984,The Girls From Alcyone (The Girls from Alcyone #1),Cary Caffrey,score: 89,1 person voted," 3.78 avg rating — 1,783 ratings"
987,984,"The Ranchers Take a Wife (The Men of Space Station One, #1)",Marla Monroe,score: 89,1 person voted, 3.63 avg rating — 239 ratings
988,984,"Exiles of the Stars (Moon Magic, #2)",Andre Norton,score: 89,1 person voted, 3.95 avg rating — 516 ratings
989,984,The Last Warrior (Lost Colony #1),Susan Grant,score: 89,1 person voted, 3.64 avg rating — 208 ratings
990,984,"Year One (Chronicles of The One, #1)",Nora Roberts,score: 89,1 person voted," 4.05 avg rating — 43,074 ratings"
991,984,Null States: Book Two of the Centenal Cycle,Malka Ann Older,score: 89,1 person voted, 3.87 avg rating — 874 ratings
992,984,"Beyond the Empire (The Indranan War, #3)",K.B. Wagers,score: 89,1 person voted, 4.03 avg rating — 862 ratings
993,984,Continuum,Shanna Lauffey,score: 89,1 person voted,really liked it 4.00 avg rating — 10 ratings
994,995,"The Awakeners: Northshore & Southshore (The Awakeners, #1-2)",Sheri S. Tepper,score: 88,1 person voted, 3.80 avg rating — 964 ratings
995,995,Gaia's Toys,Rebecca Ore,score: 88,1 person voted, 3.48 avg rating — 40 ratings
996,995,"Code of Conduct (Jani Kilian Chronicles, #1)",Kristine Smith,score: 88,2 people voted," 3.73 avg rating — 1,311 ratings"
997,995,Mindscape,Andrea Hairston,score: 88,1 person voted, 3.67 avg rating — 123 ratings
998,995,"The Ruby Dice (Saga of the Skolian Empire, #12)",Catherine Asaro,score: 88,1 person voted, 4.03 avg rating — 750 ratings
999,995,The People in the Trees,Hanya Yanagihara,score: 88,1 person voted," 3.68 avg rating — 13,841 ratings"
1000,995,"City of Ruins (Diving Universe, #2)",Kristine Kathryn Rusch,score: 88,2 people voted, 3.91 avg rating — 569 ratings
1001,995,"Elegy for a Lost Star (Symphony of Ages, #5)",Elizabeth Haydon,score: 88,1 person voted," 4.04 avg rating — 5,509 ratings"
1002,995,"The Star Princess (Star, #3)",Susan Grant,score: 88,1 person voted, 3.90 avg rating — 861 ratings
1003,995,"Heart of Iron (Heart of Iron, #1)",Ashley Poston,score: 88,1 person voted," 3.80 avg rating — 3,732 ratings"
1004,995,Believing is Seeing,Diana Wynne Jones,score: 88,1 person voted, 3.81 avg rating — 410 ratings
1005,995,The Future Memory Man,Shanna Lauffey,score: 88,1 person voted, 4.25 avg rating — 4 ratings
1006,1007,"Becoming Alien (Saga of Tom Red-Clay, #1)",Rebecca Ore,score: 87,1 person voted, 3.61 avg rating — 190 ratings
1007,1007,"Spherical Harmonic (Saga of the Skolian Empire, #7)",Catherine Asaro,score: 87,1 person voted, 3.85 avg rating — 732 ratings
1008,1007,"Disobedience Means Death (Rymellan, #1)",Sarah Ettritch,score: 87,1 person voted, 4.07 avg rating — 45 ratings
1009,1007,"Sharing the Female From Earth (Lost in Space, #1)",Marla Monroe,score: 87,1 person voted, 3.97 avg rating — 73 ratings
1010,1007,"Allison Hewitt Is Trapped (Zombie, #1)",Madeleine Roux,score: 87,1 person voted," 3.76 avg rating — 3,883 ratings"
1011,1007,"Requiem for the Sun (Symphony of Ages, #4)",Elizabeth Haydon,score: 87,1 person voted," 3.99 avg rating — 6,471 ratings"
1012,1007,Ice,Anna Kavan,score: 87,1 person voted," 3.75 avg rating — 2,893 ratings"
1013,1007,"Silver Shark (Kinsmen, #2)",Ilona Andrews,score: 87,1 person voted," 4.27 avg rating — 7,569 ratings"
1014,1007,"The Physician's Tale (The Plague Tales, #3)",Ann  Benson,score: 87,1 person voted, 3.95 avg rating — 549 ratings
1015,1007,Proud Man,Katharine Burdekin,score: 87,1 person voted, 4.03 avg rating — 32 ratings
1016,1007,The Blazing World and Other Writings,Margaret Cavendish,score: 87,1 person voted, 3.26 avg rating — 629 ratings
1017,1007,"Sureblood (Borderlands, #3)",Susan Grant,score: 87,1 person voted, 3.63 avg rating — 199 ratings
1018,1007,"Honor Among Thieves (The Honors, #1)",Rachel Caine,score: 87,1 person voted," 3.90 avg rating — 2,792 ratings"
1019,1007,A Secret Twice Hidden,Shanna Lauffey,score: 87,1 person voted, 4.67 avg rating — 3 ratings
1020,1021,"Kinderen van Moeder Aarde (De Toekomsttrilogie, #1)",Thea Beckman,score: 86,1 person voted," 4.20 avg rating — 3,071 ratings"
1021,1021,Four Ways to Forgiveness,Ursula K. Le Guin,score: 86,1 person voted," 4.17 avg rating — 2,989 ratings"
1022,1021,The Panopticon,Jenni Fagan,score: 86,1 person voted," 3.64 avg rating — 4,381 ratings"
1023,1021,"How to Lose an Extraterrestrial in 10 Days (Otherworldly Men, #3)",Susan Grant,score: 86,2 people voted, 3.88 avg rating — 408 ratings
1024,1021,"The Masterharper of Pern (Pern, #15)",Anne McCaffrey,score: 86,2 people voted," 4.23 avg rating — 21,980 ratings"
1025,1021,"Destiny: Child of the Sky (Symphony of Ages, #3)",Elizabeth Haydon,score: 86,1 person voted," 4.13 avg rating — 10,522 ratings"
1026,1021,"Silent Blade (Kinsmen, #1)",Ilona Andrews,score: 86,1 person voted," 3.96 avg rating — 9,936 ratings"
1027,1021,Dreamstrider,Lindsay  Smith,score: 86,1 person voted, 3.46 avg rating — 863 ratings
1028,1021,"Artificial Condition (The Murderbot Diaries, #2)",Martha Wells,score: 86,1 person voted," 4.28 avg rating — 17,573 ratings"
1029,1021,Plausible Deniability,Shanna Lauffey,score: 86,1 person voted, 4.43 avg rating — 7 ratings
1030,1031,Tsunami,L. Timmel Duchamp,score: 85,1 person voted, 3.94 avg rating — 31 ratings
1031,1031,"Het Helse Paradijs (De Toekomsttrilogie, #2)",Thea Beckman,score: 85,1 person voted," 4.17 avg rating — 1,794 ratings"
1032,1031,Summer of Love,Lisa Mason,score: 85,1 person voted, 3.92 avg rating — 300 ratings
1033,1031,"Everlasting: Der Mann, der aus der Zeit fiel",Holly-Jane Rahlens,score: 85,1 person voted, 4.01 avg rating — 606 ratings
1034,1031,"Prophecy: Child of Earth (Symphony of Ages, #2)",Elizabeth Haydon,score: 85,1 person voted," 4.12 avg rating — 12,077 ratings"
1035,1031,Android at Arms,Andre Norton,score: 85,1 person voted, 3.71 avg rating — 261 ratings
1036,1031,La Ballade de Trash,Jeanne-A Debats,score: 85,1 person voted, 4.10 avg rating — 10 ratings
1037,1031,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,score: 85,1 person voted," 3.98 avg rating — 246,672 ratings"
1038,1031,"The Star Prince (Star, #2)",Susan Grant,score: 85,1 person voted, 3.92 avg rating — 748 ratings
1039,1031,"Rogue Protocol (The Murderbot Diaries, #3)",Martha Wells,score: 85,1 person voted," 4.28 avg rating — 13,323 ratings"
1040,1031,The Homeward Bounders,Diana Wynne Jones,score: 85,1 person voted," 3.90 avg rating — 3,890 ratings"
1041,1031,The Time Shifters Chronicles volume 1: Episodes One through Five of the Chronicles of the Harekaiian,Shanna Lauffey,score: 85,1 person voted,really liked it 4.00 avg rating — 4 ratings
1042,1043,"Watcher's Web (Return of the Aghyrians, #1)",Patty Jansen,score: 84,1 person voted, 3.41 avg rating — 693 ratings
1043,1043,"Het Gulden Vlies van Thule (De Toekomsttrilogie, #3)",Thea Beckman,score: 84,1 person voted," 4.19 avg rating — 1,873 ratings"
1044,1043,"Haven 6 (A New Dawn, #3)",Aubrie Dionne,score: 84,1 person voted, 4.42 avg rating — 45 ratings
1045,1043,"On a Red Station, Drifting",Aliette de Bodard,score: 84,1 person voted," 3.83 avg rating — 1,078 ratings"
1046,1043,"The Keeper of the Isis Light (Isis, #1)",Monica Hughes,score: 84,1 person voted," 3.85 avg rating — 1,141 ratings"
1047,1043,"Rhapsody: Child of Blood (Symphony of Ages, #1)",Elizabeth Haydon,score: 84,1 person voted," 3.95 avg rating — 18,194 ratings"
1048,1043,"Battlestations! (Star Trek: Fortunes Of War, #2)",Diane Carey,score: 84,1 person voted," 3.75 avg rating — 1,050 ratings"
1049,1043,The Huntress,Michelle O'Leary,score: 84,1 person voted, 3.79 avg rating — 190 ratings
1050,1043,Les Abîmes d'Autremer,Danielle Martinigol,score: 84,1 person voted, 4.25 avg rating — 81 ratings
1051,1043,"The Star King (Star, #1)",Susan Grant,score: 84,1 person voted," 3.75 avg rating — 1,963 ratings"
1052,1043,"Exit Strategy (The Murderbot Diaries, #4)",Martha Wells,score: 84,1 person voted," 4.41 avg rating — 11,721 ratings"
1053,1054,Blood in the Fruit,L. Timmel Duchamp,score: 83,1 person voted, 4.17 avg rating — 29 ratings
1054,1054,Day by Night,Tanith Lee,score: 83,1 person voted, 3.72 avg rating — 180 ratings
1055,1054,His Name In Lights,Patty Jansen,score: 83,1 person voted, 3.74 avg rating — 35 ratings
1056,1054,Fey Lights,Liana Brooks,score: 83,1 person voted, 4.32 avg rating — 25 ratings
1057,1054,Angel on the Ropes,Jill Shultz,score: 83,1 person voted, 3.69 avg rating — 62 ratings
1058,1054,"Ōoku: The Inner Chambers, Volume 1 (Ōoku: The Inner Chambers / 大奥, #1)",Fumi Yoshinaga,score: 83,1 person voted," 3.93 avg rating — 2,308 ratings"
1059,1054,"The Solar Queen (Solar Queen, #1-2)",Andre Norton,score: 83,1 person voted, 4.14 avg rating — 394 ratings
1060,1054,L'envol de l'abîme,Danielle Martinigol,score: 83,1 person voted, 4.18 avg rating — 49 ratings
1061,1054,"My Favorite Earthling (Otherworldly Men, #2)",Susan Grant,score: 83,1 person voted, 3.78 avg rating — 366 ratings
1062,1063,Mother Aegypt and Other Stories,Kage Baker,score: 82,2 people voted, 3.97 avg rating — 358 ratings
1063,1063,"Phoenix Café (White Queen, #3)",Gwyneth Jones,score: 82,1 person voted, 3.73 avg rating — 55 ratings
1064,1063,This Peaceful State of War,Patty Jansen,score: 82,1 person voted, 4.31 avg rating — 36 ratings
1065,1063,"Beneath the Starry Sky (1Night Stand, #70)",Jessica E. Subject,score: 82,2 people voted, 3.89 avg rating — 95 ratings
1066,1063,"Touched by an Alien (Katherine ""Kitty"" Katt, #1)",Gini Koch,score: 82,1 person voted," 3.68 avg rating — 5,052 ratings"
1067,1063,Rediscovery  (Darkover - Chronological Order #11),Marion Zimmer Bradley,score: 82,1 person voted," 3.83 avg rating — 2,106 ratings"
1068,1063,L'appel des abîmes,Danielle Martinigol,score: 82,1 person voted, 4.19 avg rating — 36 ratings
1069,1063,Provenance,Ann Leckie,score: 82,1 person voted," 3.82 avg rating — 10,071 ratings"
1070,1071,Wrapt in Crystal,Sharon Shinn,score: 81,1 person voted," 3.53 avg rating — 1,425 ratings"
1071,1071,The Far Horizon,Patty Jansen,score: 81,1 person voted, 3.93 avg rating — 27 ratings
1072,1071,When You Reach Me,Rebecca Stead,score: 81,1 person voted," 4.09 avg rating — 78,090 ratings"
1073,1071,"The Fulfilments of Fate and Desire (Wraeththu, #3)",Storm Constantine,score: 81,1 person voted, 4.28 avg rating — 667 ratings
1074,1071,"MILA 2.0 (MILA 2.0, #1)",Debra Driza,score: 81,1 person voted," 3.69 avg rating — 11,113 ratings"
1075,1071,"Your Planet or Mine? (Otherworldly Men, #1)",Susan Grant,score: 81,1 person voted, 3.54 avg rating — 564 ratings
1076,1071,"The Kingdom of Gods (Inheritance, #3)",N.K. Jemisin,score: 81,1 person voted," 3.95 avg rating — 13,612 ratings"
1077,1078,Floating Worlds,Cecelia Holland,score: 80,1 person voted, 3.53 avg rating — 476 ratings
1078,1078,Charlotte's Army,Patty Jansen,score: 80,1 person voted, 4.04 avg rating — 23 ratings
1079,1078,Nekropolis,Maureen F. McHugh,score: 80,1 person voted, 3.65 avg rating — 485 ratings
1080,1078,"The Silicon Mage (Windrose Chronicles, #2)",Barbara Hambly,score: 80,2 people voted," 3.95 avg rating — 2,131 ratings"
1081,1078,Windfalls,Jean Hegland,score: 80,1 person voted, 3.69 avg rating — 280 ratings
1082,1078,Refugees on Urloon,Melisse Aires,score: 80,1 person voted, 3.58 avg rating — 24 ratings
1083,1078,"Heir Apparent (Rasmussem Corporation, #2)",Vivian Vande Velde,score: 80,1 person voted," 4.10 avg rating — 9,399 ratings"
1084,1078,"The Bewitchments of Love and Hate (Wraeththu, #2)",Storm Constantine,score: 80,1 person voted, 4.23 avg rating — 749 ratings
1085,1078,Smoketown,Tenea D. Johnson,score: 80,1 person voted, 3.65 avg rating — 103 ratings
1086,1078,"Night Shift (Kate Daniels, #6.5; SPI Files, # 0.5; Psy-Changeling, #12.5; Barbarian, #1)",Nalini Singh,score: 80,1 person voted," 4.09 avg rating — 8,262 ratings"
1087,1078,"Seven Surrenders (Terra Ignota, #2)",Ada Palmer,score: 80,1 person voted," 4.19 avg rating — 3,135 ratings"
1088,1089,The Deep Beyond: Cuckoo's Egg / Serpent's Reach,C.J. Cherryh,score: 79,1 person voted, 4.08 avg rating — 354 ratings
1089,1089,"Imposter (Harmony of Worlds, #3)",Valerie J. Freireich,score: 79,1 person voted, 3.87 avg rating — 30 ratings
1090,1089,Twin-Bred (Twin-Bred #1),Karen A. Wyle,score: 79,1 person voted, 3.65 avg rating — 141 ratings
1091,1089,Luminescence,Patty Jansen,score: 79,1 person voted, 4.22 avg rating — 9 ratings
1092,1089,"The Academie (Academie, #1)",Amy Joy,score: 79,1 person voted, 3.59 avg rating — 308 ratings
1093,1089,Unacceptable Risk,Jeanette Grey,score: 79,1 person voted, 4.03 avg rating — 58 ratings
1094,1089,"Void (Hex, #1-3)",Rhiannon Lassiter,score: 79,1 person voted, 4.06 avg rating — 452 ratings
1095,1089,"The Enchantments of Flesh and Spirit (Wraeththu, #1)",Storm Constantine,score: 79,1 person voted," 3.88 avg rating — 1,312 ratings"
1096,1089,"Alien Species Intervention (Species Intervention #6609, #1-3)",J.K. Accinni,score: 79,79 people voted, 3.84 avg rating — 917 ratings
1097,1089,Lauriat: A Filipino-Chinese Speculative Fiction Anthology,Charles Tan,score: 79,1 person voted, 4.12 avg rating — 34 ratings
1098,1089,An Apple for the Creature,Charlaine Harris,score: 79,1 person voted," 3.87 avg rating — 7,467 ratings"
1099,1089,The Starfarers Quartet,Vonda N. McIntyre,score: 79,1 person voted, 3.60 avg rating — 35 ratings
1100,1089,"The Warlord's Daughter (Borderlands, #2)",Susan Grant,score: 79,1 person voted, 3.69 avg rating — 401 ratings
1101,1102,"Motherlines (Holdfast Chronicles, #2)",Suzy McKee Charnas,score: 78,2 people voted, 3.59 avg rating — 234 ratings
1102,1102,"Becoming Human (Harmony of Worlds, #2)",Valerie J. Freireich,score: 78,1 person voted, 4.12 avg rating — 114 ratings
1103,1102,"The Silent Tower (Windrose Chronicles, #1)",Barbara Hambly,score: 78,2 people voted," 3.93 avg rating — 3,161 ratings"
1104,1102,Machine,Jennifer Pelland,score: 78,1 person voted, 3.80 avg rating — 151 ratings
1105,1102,"Ultraviolet (Ultraviolet, #1)",R.J. Anderson,score: 78,1 person voted," 3.77 avg rating — 8,897 ratings"
1106,1102,The Rapture,Liz Jensen,score: 78,1 person voted," 3.31 avg rating — 2,149 ratings"
1107,1108,"Dragon's Blood (Pit Dragon Chronicles, #1)",Jane Yolen,score: 77,1 person voted,"really liked it 4.00 avg rating — 11,442 ratings"
1108,1108,The Fantastic Pulps,Peter Haining,score: 77,1 person voted, 3.97 avg rating — 35 ratings
1109,1108,"Magic Graves (Night Huntress, #4.5; Kate Daniels, #0.5)",Jeaniene Frost,score: 77,1 person voted," 4.15 avg rating — 10,665 ratings"
1110,1108,"The Scarlet Empress (2176 Series, #5)",Susan Grant,score: 77,1 person voted, 3.90 avg rating — 339 ratings
1111,1108,"Judge (Wess'Har Wars, #6)",Karen Traviss,score: 77,1 person voted, 3.90 avg rating — 486 ratings
1112,1113,"The Resistance (The Declaration, #2)",Gemma Malley,score: 76,1 person voted," 3.75 avg rating — 6,703 ratings"
1113,1113,"Reach (Twin-Bred, #2)",Karen A. Wyle,score: 76,1 person voted, 4.29 avg rating — 21 ratings
1114,1113,Greenshift,Heidi Ruby Miller,score: 76,1 person voted, 3.71 avg rating — 101 ratings
1115,1113,"Ghost Ship (Theo Waitley, #3; Liaden Universe, #15)",Sharon Lee,score: 76,3 people voted," 4.25 avg rating — 1,735 ratings"
1116,1113,Cosmos Latinos: An Anthology of Science Fiction from Latin America and Spain,Andrea L. Bell,score: 76,1 person voted, 3.92 avg rating — 60 ratings
1117,1113,Icarus Descending,Elizabeth Hand,score: 76,1 person voted, 3.79 avg rating — 150 ratings
1118,1113,"Magic Dreams (Kate Daniels, #4.5)",Ilona Andrews,score: 76,1 person voted," 4.27 avg rating — 14,671 ratings"
1119,1113,Once a Pirate,Susan Grant,score: 76,1 person voted, 3.78 avg rating — 540 ratings
1120,1113,"Matriarch (Wess'Har Wars, #4)",Karen Traviss,score: 76,1 person voted, 3.89 avg rating — 665 ratings
1121,1122,"Enemy Within (Enemy, #1)",Marcella Burnard,score: 75,1 person voted," 3.65 avg rating — 1,170 ratings"
1122,1122,The Stars Blue Yonder (The Outback Stars #3),Sandra McDonald,score: 75,3 people voted, 3.59 avg rating — 138 ratings
1123,1122,Division,Karen A. Wyle,score: 75,1 person voted, 4.38 avg rating — 24 ratings
1124,1122,"Paradise 21 (A New Dawn, #1)",Aubrie Dionne,score: 75,1 person voted, 3.71 avg rating — 235 ratings
1125,1122,Sambaqui: A Novel of Pre-History,Stella Carr,score: 75,1 person voted, 3.80 avg rating — 5 ratings
1126,1122,Zoo City,Lauren Beukes,score: 75,2 people voted," 3.64 avg rating — 9,484 ratings"
1127,1122,Shiawase no Zanzou,Parinoush Saniee,score: 75,1 person voted," 4.22 avg rating — 6,336 ratings"
1128,1122,"Ally (Wess'Har Wars, #5)",Karen Traviss,score: 75,1 person voted, 3.90 avg rating — 559 ratings
1129,1130,Daughter of the Bear King,Eleanor Arnason,score: 74,1 person voted, 3.08 avg rating — 36 ratings
1130,1130,Dante's Equation,Jane Jensen,score: 74,1 person voted, 3.70 avg rating — 923 ratings
1131,1130,Marked by Light (Ambasadora #1),Heidi Ruby Miller,score: 74,1 person voted, 3.96 avg rating — 195 ratings
1132,1130,"The Bar Code Tattoo (Bar Code, #1)",Suzanne Weyn,score: 74,1 person voted," 3.55 avg rating — 15,761 ratings"
1133,1130,Liam's Promise (The Doomsday Kids #1),Karyn Langhorne Folan,score: 74,1 person voted, 4.03 avg rating — 96 ratings
1134,1130,In the Company of Others,Julie E. Czerneda,score: 74,1 person voted," 3.97 avg rating — 1,025 ratings"
1135,1130,A House of Secrets,Patti   Davis,score: 74,1 person voted, 3.57 avg rating — 28 ratings
1136,1130,"Freedom's Choice (Catteni, #2)",Anne McCaffrey,score: 74,1 person voted," 3.92 avg rating — 7,143 ratings"
1137,1130,"The World Before (Wess'Har Wars, #3)",Karen Traviss,score: 74,1 person voted, 3.95 avg rating — 785 ratings
1138,1139,Lost in the Seven Worlds,Petronela Ungureanu,score: 73,1 person voted, 3.91 avg rating — 91 ratings
1139,1139,The Kindly Ones,Melissa Scott,score: 73,2 people voted, 3.66 avg rating — 185 ratings
1140,1139,Dreamships,Melissa Scott,score: 73,2 people voted, 3.66 avg rating — 471 ratings
1141,1139,"The Copper Crown (The Tales of Aeron, #1)",Patricia Kennealy-Morrison,score: 73,1 person voted," 4.02 avg rating — 1,473 ratings"
1142,1139,"Lord Of Thunder (Beast Master / Hosteen Storm, #2)",Andre Norton,score: 73,1 person voted, 3.93 avg rating — 604 ratings
1143,1139,Freedom's Challenge,Anne McCaffrey,score: 73,1 person voted," 3.94 avg rating — 6,125 ratings"
1144,1139,"Crossing the Line (Wess'har Wars, #2)",Karen Traviss,score: 73,1 person voted, 4.02 avg rating — 928 ratings
1145,1139,"Life As We Knew It (Last Survivors, #1)",Susan Beth Pfeffer,score: 73,1 person voted," 3.89 avg rating — 106,618 ratings"
1146,1147,Pangaea  Book II: Imperium Afire,Lisa Mason,score: 72,1 person voted, 3.82 avg rating — 11 ratings
1147,1147,Rulebreaker,Cathy Pegau,score: 72,1 person voted, 3.77 avg rating — 186 ratings
1148,1147,The Planet Savers,Marion Zimmer Bradley,score: 72,1 person voted," 3.76 avg rating — 1,563 ratings"
1149,1147,Star Ka'at,Andre Norton,score: 72,1 person voted, 3.72 avg rating — 338 ratings
1150,1147,"After the Snow (After the Snow, #1)",S.D. Crockett,score: 72,2 people voted," 3.17 avg rating — 1,671 ratings"
1151,1147,"Freedom's Ransom (Catteni, #4)",Anne McCaffrey,score: 72,1 person voted," 3.94 avg rating — 4,526 ratings"
1152,1153,"Flight in Yiktor (Moon Magic, #3)",Andre Norton,score: 71,1 person voted, 3.80 avg rating — 476 ratings
1153,1153,Angel with the Sword (Merovingen Nights #0),C.J. Cherryh,score: 71,2 people voted, 3.84 avg rating — 901 ratings
1154,1153,"Fourth World (Missing Link, #1)",Kate Thompson,score: 71,1 person voted, 3.63 avg rating — 228 ratings
1155,1153,Rock Crazy,Rochelle Weber,score: 71,1 person voted, 3.32 avg rating — 19 ratings
1156,1153,Terra Nova: An Anthology of Contemporary Spanish Science Fiction,Mariano Villarreal,score: 71,1 person voted, 3.79 avg rating — 174 ratings
1157,1158,"The Jargoon Pard (Witch World Series 2: High Hallack Cycle, #3)",Andre Norton,score: 70,1 person voted," 3.95 avg rating — 1,044 ratings"
1158,1158,Eva Fairdeath,Tanith Lee,score: 70,1 person voted, 3.38 avg rating — 143 ratings
1159,1158,We Who Are About To...,Joanna Russ,score: 70,2 people voted, 3.58 avg rating — 804 ratings
